segment_id,target_hour,count_two_wheeler,count_car,count_auto,count_light_commercial,count_heavy,count_other,count_total,severity_weighted_count,is_hotspot,sample_weight,lat_center,lon_center,lat_mean,lon_mean,lat_bin,lon_bin,police_station,junction_name,junction_bucket,road_class,road_width_m,event_count,map_matching_mode,representative_location,road_name,osm_highway,geometry_wkt,station_approval_rate,segment_severity_mean,segment_dominant_vehicle_footprint,dist_to_metro_m,dist_to_commercial_m,dist_to_bus_stop_m,dist_to_school_m,dist_to_hospital_m,dist_to_market_m,dist_to_restaurant_m,dist_to_worship_m,dist_to_office_m,poi_count_200m,poi_count_500m,poi_gravity_score,dist_to_legal_parking_m,legal_parking_capacity,overflow_risk_index,segment_total_events,segment_event_rate,segment_rank_pct,hour,day_of_week,month,day_of_year,is_weekend,is_peak,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,day_of_year_norm,is_weekday_peak,is_weekend_peak,hour_bucket,is_holiday,is_festival,is_first_week_of_month,is_month_end,is_school_dropoff,is_school_pickup,is_lunch_market,is_office_commute_am,is_office_commute_pm,is_shopping_evening,is_nightlife_peak,is_late_night_enforcement,segment_hour_mean,segment_dow_hour_mean,city_hour_mean,city_dow_hour_mean,road_vulnerability,lag_1h_total,lag_2h_total,lag_3h_total,lag_24h_total,lag_168h_total,lag_1h_two_wheeler,lag_1h_car,lag_1h_auto,lag_1h_light_commercial,lag_1h_heavy,lag_1h_other,rainfall_mm,is_raining,is_underpass_or_bridge,rain_shelter_bottleneck,distance_to_active_event_m,event_impact_score,active_event_count,nearest_active_event_venue,nearest_active_event_label,hawkes_decay_intensity,neighbor_spillover_score,station_enforcement_volume,station_event_rate
grid_12875_77648,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.8755,77.6485,12.875539441964284,77.6482657267857,12875,77648,Hulimavu,No Junction,No Junction,secondary,9.0,112,grid_fallback,"Hosur Road, Singasandra Industrial Estate, Begur, Bengaluru, Karnataka. Pin-560068 (India)",,,,1.0,0.3196428571428571,1.8892857142857145,678.4905406156366,561.1509537626661,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,303.84471130329393,8.0,29.927610996375986,100.0,0.032061558191728116,0.7357920193470375,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12906_77696,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9065,77.6965,12.906810096551725,77.69656770517241,12906,77696,Bellandur,No Junction,No Junction,primary,12.0,58,grid_fallback,"Sarjapura Main Road, Doddakannelli Circle, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",,,,1.0,0.8425862068965517,1.056896551724138,1018.4281080664472,147.95176415024247,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,229.43022408013013,43.61962685546106,6.9069936077236544,55.0,0.017633857005450466,0.5849455864570737,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12910_77573,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9105,77.5735,12.910613110638296,77.57348533404257,12910,77573,J.P. Nagar,"BTP117 - 9th Cross, Kanakapura Road",Named Junction,secondary,9.0,47,grid_fallback,"9th B Cross Road, SBI Colony, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",,,,1.0,0.038297872340425525,1.2617021276595746,337.305794082849,236.31398829047774,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,638.7554672516854,183.36483890015828,4.3199950367738715,44.0,0.014107085604360373,0.49455864570737607,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.023084321898044245,0.0,0.015087336265690547,0.01266034411447623,1.2,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12910_77587,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9105,77.5875,12.910726354545455,77.58763799090909,12910,77587,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",Named Junction,primary,12.0,22,grid_fallback,"21st Main Road, Marenahalli Palya, JP Nagar Phase 2, Bengaluru, Karnataka. Pin-560078 (India)",,,,1.0,0.9959090909090911,1.4045454545454545,733.6209069403869,246.96923745867616,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,275.9003167461039,135.11210715778506,1.6273857774538159,22.0,0.007053542802180186,0.18047158403869407,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12911_77651,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9115,77.6515,12.911898663414634,77.65161933902438,12911,77651,HSR Layout,No Junction,No Junction,secondary,9.0,41,grid_fallback,"17th Cross Road, Parangipalya, Sector 2, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,,,1.0,0.8699999999999999,0.9195121951219509,2380.845999283328,117.39081324086189,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,241.07967077130243,20.524113668619087,7.219603247041595,41.0,0.013145238858608528,0.4628174123337364,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12912_77636,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9125,77.6365,12.91232733496356,77.63633224987595,12912,77636,HSR Layout,No Junction,No Junction,primary,12.0,34,grid_fallback,"17th Cross Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,,,1.0,0.6541176470588235,1.1911764705882353,1108.0680234037593,54.78688770562122,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,436.47708573312724,25.88607373221029,6.75328800690097,26.0,0.00833600512984931,0.26844014510278114,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12921_77666,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9215,77.6665,12.921308585714284,77.66661133333335,12921,77666,Bellandur,No Junction,No Junction,primary,12.0,21,grid_fallback,"Outer Ring Road, Iblur Junction, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,,,1.0,0.03571428571428571,1.4000000000000001,4342.015442747033,249.28356416401974,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,122.82786646914624,51.68705441194984,2.0121350420631567,18.0,0.005771080474511061,0.07920193470374849,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12934_77616,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9345,77.6165,12.934428668027213,77.61641430204082,12934,77616,Adugodi,BTP140 - Madiwala Check Post,Named Junction,secondary,9.0,147,grid_fallback,"1st Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",,,,1.0,0.826530612244898,0.9782312925170065,2032.061461732894,20.363841491551547,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,206.38605727841815,696.5746904551544,4.300630924221904,144.0,0.04616864379608849,0.8219467956469165,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12935_77615,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.935500000000001,77.6155,12.935688323843415,77.6154569519573,12935,77615,Adugodi,BTP135 - UCO Bank Junction,Named Junction,primary,12.0,281,grid_fallback,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",,,,1.0,1.0286476868327403,1.0786476868327404,2165.2584200691194,93.10026282195031,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,160.45939852726477,696.5746904551544,7.555912550675781,257.0,0.08239820455274126,0.9014510278113664,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
grid_12936_77617,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.9365,77.6175,12.93632287362637,77.61725201978022,12936,77617,Adugodi,No Junction,No Junction,primary,12.0,91,grid_fallback,"20th Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",,,,1.0,0.6505494505494505,1.2692307692307692,2229.897587743734,36.63038406572838,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,394.47565002339917,696.5746904551544,3.387131866466986,63.0,0.020198781660788714,0.6278718258766627,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.015087336265690547,0.01266034411447623,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
