segment_id,target_hour,count_two_wheeler,count_car,count_auto,count_light_commercial,count_heavy,count_other,count_total,lat_center,lon_center,lat_mean,lon_mean,lat_bin,lon_bin,police_station,junction_name,junction_bucket,road_class,road_width_m,event_count,map_matching_mode,representative_location,segment_total_events,segment_event_rate,segment_rank_pct,hour,day_of_week,month,day_of_year,is_weekend,is_peak,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,days_since_start,segment_hour_mean,segment_dow_hour_mean,city_hour_mean,city_dow_hour_mean,lag_1h_total,lag_1h_two_wheeler,lag_1h_car,lag_1h_auto,lag_1h_light_commercial,lag_1h_heavy,lag_1h_other,lag_2h_total,lag_3h_total,lag_24h_total,lag_168h_total
grid_12964_77577,2023-11-10 00:00:00,0,0,2,0,0,0,2,12.964500000000001,77.5775,12.964415105945575,77.57737008784665,12964,77577,City Market,BTP082 - KR Market Junction,Named Junction,primary,12.0,1633,grid_fallback,"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1489.0,0.45299665348341955,0.8666666666666667,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.0,0.5841192576817766,0.9199878308487983,0.16124125342257378,0.14779434134469122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_13000_77676,2023-11-10 00:00:00,0,0,0,0,0,0,0,13.0005,77.6765,13.000489269586971,77.67666895460364,13000,77676,Banaswadi,No Junction,No Junction,primary,12.0,492,grid_fallback,"MBT Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",455.0,0.13842409491937938,0.06666666666666667,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.0,0.3577730453300882,0.664435655613021,0.16124125342257378,0.14779434134469122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_12932_77691,2023-11-10 01:00:00,0,0,0,0,0,0,0,12.932500000000001,77.6915,12.932646816200693,77.69146259768162,12932,77691,HAL Old Airport,No Junction,No Junction,secondary,9.0,806,grid_fallback,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",794.0,0.24155765135381807,0.5916666666666667,1,4,11,314,0,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.041666666666666664,0.029205962884088832,0.1533313051414664,0.28390629753574687,0.2862184362640706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_12972_77579,2023-11-10 01:00:00,0,0,0,0,0,0,0,12.9725,77.5795,12.972711473062017,77.57926101046512,12972,77579,Upparpet,BTP044 - Sagar Theatre Junction,Named Junction,secondary,9.0,516,grid_fallback,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",492.0,0.1496805597809553,0.16666666666666666,1,4,11,314,0,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.041666666666666664,0.007301490721022208,0.0,0.28390629753574687,0.2862184362640706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_12974_77545,2023-11-10 01:00:00,0,0,0,0,0,0,0,12.9745,77.5455,12.97446812914201,77.54538265261343,12974,77545,Vijayanagara,BTP020 - Hosahalli Metro Station,Named Junction,primary,12.0,2028,grid_fallback,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",1953.0,0.5941588074231823,0.9583333333333334,1,4,11,314,0,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.041666666666666664,0.014602981442044416,0.10222087009431093,0.28390629753574687,0.2862184362640706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_12996_77563,2023-11-10 01:00:00,1,1,0,0,0,0,2,12.996500000000001,77.5635,12.996297618200408,77.56318213885481,12996,77563,Sheshadripuram,No Junction,No Junction,primary,12.0,489,grid_fallback,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",459.0,0.13964101003954973,0.08333333333333333,1,4,11,314,0,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.041666666666666664,0.029205962884088832,0.20444174018862185,0.28390629753574687,0.2862184362640706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_13071_77587,2023-11-10 01:00:00,0,0,0,0,0,0,0,13.0715,77.5875,13.071211344451127,77.5878043293514,13071,77587,Kodigehalli,No Junction,No Junction,secondary,9.0,848,grid_fallback,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",782.0,0.23790690599330697,0.575,1,4,11,314,0,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.041666666666666664,0.0,0.0,0.28390629753574687,0.2862184362640706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_12964_77538,2023-11-10 02:00:00,3,3,0,0,0,0,6,12.964500000000001,77.5385,12.964903419755915,77.5387711938451,12964,77538,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",Named Junction,primary,12.0,1086,grid_fallback,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",1080.0,0.3285670824459994,0.7333333333333333,2,4,11,314,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.08333333333333333,0.912686340127776,0.9710982658959538,0.2559172497718284,0.24277456647398846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_12964_77577,2023-11-10 02:00:00,0,0,1,0,0,0,1,12.964500000000001,77.5775,12.964415105945575,77.57737008784665,12964,77577,City Market,BTP082 - KR Market Junction,Named Junction,primary,12.0,1633,grid_fallback,"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1489.0,0.45299665348341955,0.8666666666666667,2,4,11,314,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.08333333333333333,0.41618497109826585,0.5111043504715547,0.2559172497718284,0.24277456647398846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
grid_12975_77558,2023-11-10 02:00:00,0,0,0,0,0,0,0,12.9755,77.5585,12.975734782539861,77.55876453825343,12975,77558,Magadi Road,No Junction,No Junction,secondary,9.0,564,grid_fallback,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",500.0,0.152114390021296,0.2,2,4,11,314,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.08333333333333333,0.21174323090964403,0.1533313051414664,0.2559172497718284,0.24277456647398846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
