segment_id,target_hour,count_two_wheeler,count_car,count_auto,count_light_commercial,count_heavy,count_other,count_total,severity_weighted_count,is_hotspot,sample_weight,lat_center,lon_center,lat_mean,lon_mean,lat_bin,lon_bin,police_station,junction_name,junction_bucket,road_class,road_width_m,event_count,map_matching_mode,representative_location,road_name,osm_highway,geometry_wkt,station_approval_rate,segment_severity_mean,segment_dominant_vehicle_footprint,is_bulk_artifact_segment,dist_to_metro_m,dist_to_commercial_m,dist_to_bus_stop_m,dist_to_school_m,dist_to_hospital_m,dist_to_market_m,dist_to_restaurant_m,dist_to_worship_m,dist_to_office_m,dist_to_mall_m,dist_to_airport_m,dist_to_railway_station_m,dist_to_hotel_m,dist_to_nightlife_m,dist_to_park_m,dist_to_stadium_m,dist_to_university_m,poi_count_200m,poi_count_500m,poi_gravity_score,dist_to_legal_parking_m,legal_parking_capacity,overflow_risk_index,segment_total_events,segment_event_rate,segment_rank_pct,model_segment_id,hour,day_of_week,month,day_of_year,is_weekend,is_peak,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,day_of_year_norm,is_weekday_peak,is_weekend_peak,hour_bucket,is_holiday,is_festival,is_first_week_of_month,is_month_end,is_school_dropoff,is_school_pickup,is_lunch_market,is_office_commute_am,is_office_commute_pm,is_shopping_evening,is_nightlife_peak,segment_hour_mean,segment_dow_hour_mean,city_hour_mean,city_dow_hour_mean,road_vulnerability,lag_1h_total,lag_2h_total,lag_3h_total,lag_24h_total,lag_168h_total,lag_1h_two_wheeler,lag_1h_car,lag_1h_auto,lag_1h_light_commercial,lag_1h_heavy,lag_1h_other,rainfall_mm,is_raining,is_underpass_or_bridge,rain_shelter_bottleneck,distance_to_active_event_m,event_impact_score,active_event_count,nearest_active_event_venue,nearest_active_event_label,hawkes_decay_intensity,neighbor_spillover_score,station_enforcement_volume,station_event_rate
osm_way_1092268354,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.973991349999999,77.54765670000002,12.974109366666669,77.54756796666668,12974,77547,Vijayanagara,BTP069 - MC Circle,Named Junction,secondary,9.0,27,osm_overpass_nearest_road,"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,secondary,"LINESTRING (77.5477518 12.9739279, 77.5475616 12.9740548)",1.0,0.524074074074074,1.0259259259259257,1,223.4450570347806,122.31420186322971,142.3581573740833,84.32184752719992,28.006971203985106,1106.9901133929184,234.6885377011557,74.61946952351354,82.92634712172338,440.5567569330084,12718.442530409651,2057.1943293734603,907.0492835030923,1863.9859985103326,85.75606095769596,4248.09697320301,1019.3278670303115,0.0,0.0,0.0,826.8186745896121,232.2281104108032,2.8985904098073223,25.0,0.008015389547932029,0.26355685131195333,osm_way_1092268354,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1096483603,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.97464265039824,77.54507259597641,12.97453194778481,77.54513090854431,12974,77544,Vijayanagara,BTP020 - Hosahalli Metro Station,Named Junction,residential,6.0,632,osm_overpass_nearest_road,"1st Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,service,"LINESTRING (77.5450517 12.9744316, 77.545058 12.9744953, 77.5450935 12.9748537)",1.0,0.4382009493670886,0.8346518987341772,1,71.03420588702669,36.44285395478107,103.93189056997515,132.11183711007007,100.6970411627548,859.7807101485607,142.30455758846756,114.0930311603458,225.33843829465852,728.479407785104,12775.932898531062,2008.3692491037286,845.9569216122401,1589.6763035332917,141.01069016837656,4319.723959553425,905.0326882514175,0.0,0.0,0.0,1088.7859012955516,232.2281104108032,56.152492845551585,571.0,0.18307149727476754,0.970262390670554,osm_way_1096483603,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1097920903,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.95241468962831,77.54144609247561,12.952567145918367,77.54133514489796,12952,77541,Byatarayanapura,BTP096 - Gali Anjaneya Temple,Named Junction,residential,6.0,98,osm_overpass_nearest_road,"Mysore Road, YR Vasudeva Bhattacharya Layout, Byatarayanapura New Extension, Bengaluru, Karnataka. Pin-560026 (India)",,residential,"LINESTRING (77.5413464 12.9526256, 77.5414426 12.9524264, 77.5415426 12.9522023)",1.0,0.29994897959183675,0.9275510204081633,1,482.9791529550956,392.7155848776956,156.89246546599912,954.7021121621087,536.8941131946614,2180.386754162675,260.40975936255427,55.22516433304813,623.2199161769202,1469.5268447775193,13886.390959974799,645.5016814187089,395.29786559604287,1602.1140543908014,197.3060495857853,2566.5129178929683,1422.055911013891,0.0,0.0,0.0,1244.2517125014224,8.0,53.05481956228175,91.0,0.029176017954472586,0.7653061224489796,osm_way_1097920903,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.03077909586405899,0.0,0.013844322659459595,0.011474977241519083,1.2000000000000002,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1099253731,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.991325177024361,77.57164680068192,12.991434671111115,77.57147608888889,12991,77571,Sheshadripuram,No Junction,No Junction,residential,6.0,45,osm_overpass_nearest_road,"Sri Venkataranga Iyengar Road, Mantri Square, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",,service,"LINESTRING (77.5717179 12.9913273, 77.5716619 12.9913256, 77.5715757 12.9913231)",1.0,1.040444444444444,1.24,0,137.9468115218072,135.10924274112872,85.38575921147756,310.11561752427406,142.6726732435212,1313.037337211345,57.79623049627176,210.40577758758562,40.95285956934799,119.40648770668793,9991.90866072116,1359.266078199366,210.5830369587584,195.64949839728715,107.91233322468524,1668.1853476229142,379.20096013452,0.0,0.0,0.0,48.53878510859416,8.0,10.344726600118715,31.0,0.009939083039435716,0.380466472303207,osm_way_1099253731,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1110164510,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,13.041590218098325,77.5144534353109,13.041760103535353,77.51447800606061,13041,77514,Peenya,No Junction,No Junction,secondary,9.0,66,osm_overpass_nearest_road,"KIADB Road, Krishna Gowda Layout, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",,tertiary,"LINESTRING (77.5147035 13.0425321, 77.5146845 13.0424606, 77.5146345 13.0422722, 77.5146218 13.0422262, 77.5145183 13.0418343, 77.5144219 13.0414713, 77.5143676 13.0412667, 77.5143348 13.041143, 77.5142035 13.0406483)",1.0,0.9786363636363636,1.2196969696969695,0,276.9507382335558,332.5775919728691,208.42525471131353,891.3956090625634,123.24661995646981,4236.410862239068,210.21609729509694,240.27724566789087,622.3095027794225,4169.246477004507,9879.765388007703,3785.389989019019,1539.9047915687572,1098.4049358943737,226.4626686298422,3202.2573495872457,691.4408292225885,0.0,0.0,0.0,502.19535731764466,8.0,25.36881847189436,38.0,0.012183392112856685,0.47463556851311955,osm_way_1110164510,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.03077909586405899,0.0,0.013844322659459595,0.011474977241519083,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1110192328,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.97861857230136,77.6068478606082,12.978996776086957,77.60689947391306,12979,77607,Shivajinagar,BTP051 - Safina Plaza Junction,Named Junction,secondary,9.0,46,osm_overpass_nearest_road,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Main Guard Cross Road,tertiary,"LINESTRING (77.6066282 12.977955, 77.6066483 12.9780107, 77.6070217 12.9791581, 77.6070952 12.9792685)",1.0,1.1482608695652174,1.284782608695652,0,342.3468135812221,130.65336188777303,109.90918433787078,38.04601281820915,201.4903670007827,386.8690202665313,98.33199808578163,294.450753751828,173.04613366140953,128.23285063592454,7420.55013670869,1924.7066839013203,115.81082441511498,389.2318402203742,362.8353911771704,795.2187194676399,512.4010676075262,0.0,0.0,0.0,114.46418967663355,8.0,11.753863364627726,45.0,0.014427701186277652,0.5349854227405247,osm_way_1110192328,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1165596155,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.97876472532002,77.54159237719502,12.978723982608694,77.5416907,12978,77541,Magadi Road,BTP067 - Jai Muni Rao Circle,Named Junction,residential,6.0,23,osm_overpass_nearest_road,"G Narayana Kumar Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,service,"LINESTRING (77.5414686 12.9787522, 77.5414984 12.978782, 77.54154 12.9787911, 77.541607 12.9787807, 77.5416553 12.9787611, 77.5416794 12.9787375, 77.5416964 12.9786943)",1.0,0.822608695652174,0.9521739130434783,0,660.5050303357713,582.5665153659213,104.16566434239343,351.2544984638268,134.14752224466926,881.3300836993302,112.69641988859784,399.77331705380317,75.58354337167994,1238.9157322275196,12547.851917160706,2363.3184372206492,957.228520879858,1332.7936472509746,444.961715943532,4092.6303703036438,636.4960251899682,0.0,0.0,0.0,729.2445777941397,113.18762391119175,3.270444259362981,22.0,0.007053542802180186,0.18629737609329447,osm_way_1165596155,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1183891643,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.936546649279817,77.69014477753538,12.935739859090909,77.69018940454544,12935,77690,HAL Old Airport,No Junction,No Junction,secondary,9.0,22,osm_overpass_nearest_road,"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",,unclassified,"LINESTRING (77.6903872 12.9353138, 77.6902088 12.935653, 77.6901889 12.9357767, 77.6901718 12.9358827, 77.6901447 12.9365318, 77.6901396 12.936597, 77.6901369 12.9366312, 77.6901024 12.9369943, 77.6900325 12.9377003, 77.6900219 12.9378159)",1.0,0.08872727272727275,0.8000000000000003,1,5306.30123887731,53.867996238464535,151.17649155167615,281.7336770041536,708.6113639356433,2171.4970891019593,61.39308451629892,265.50224374098974,43.71895909982803,1969.2697909918838,2798.6706490878546,3650.643764423364,542.855960938682,840.0938117562594,83.7525621695012,7352.666092179086,327.6108728383224,0.0,0.0,0.0,294.92638975914167,118.67243449849784,1.9886603546563575,18.0,0.005771080474511061,0.07521865889212828,osm_way_1183891643,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1201841394,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,12.998704780509405,77.68800885886697,12.998849855,77.68810705,12999,77688,Mahadevapura,No Junction,No Junction,residential,6.0,20,osm_overpass_nearest_road,"Whitefield Road, Indian Oil Campus, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",,service,"LINESTRING (77.6882883 12.9987501, 77.6880028 12.9985507, 77.6879411 12.9985338, 77.6879071 12.998551, 77.6878436 12.9986281, 77.6878523 12.9986768, 77.687872 12.9987198, 77.6880626 12.998991)",1.0,0.8160999999999999,1.475,1,564.3424841632866,105.75322351427711,332.1462110168497,422.4980050879689,651.3488086157175,1850.9599426658635,718.9561315430676,373.03395443905777,173.05689922288119,838.1639281109958,5606.8826035890015,1377.827618211599,1099.613866626882,363.481151506787,494.77687912029086,6573.976961247465,913.2287846944743,0.0,0.0,0.0,318.31859905465495,234.5118447047008,1.32834216003761,19.0,0.006091696056428343,0.0967930029154519,osm_way_1201841394,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
osm_way_1246426787,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,0.3,13.069904244706947,77.58642885928742,13.070053059223302,77.58667707864078,13070,77587,Kodigehalli,No Junction,No Junction,secondary,9.0,103,osm_overpass_nearest_road,"Railway Samantara Road, Samvriddhi Gardenia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",GKVK Road,tertiary,"LINESTRING (77.5870216 13.0703081, 77.5869624 13.070269, 77.5867533 13.070143, 77.5867154 13.070116, 77.5858464 13.069485)",1.0,0.6235922330097087,0.8708737864077669,0,6510.50403189393,127.87321948918667,702.8478315832797,607.4418215086225,720.5447713623739,1469.3865924557572,394.1701528821881,204.90577144519287,272.9078475569441,450.8370358487486,1503.5689226668844,3028.290292215187,1240.837956393046,453.0026297136664,246.26874192203292,3523.1264068239066,702.6066402471612,0.0,0.0,0.0,284.2045052959903,183.0841759615127,7.197192914633998,69.0,0.0221224751522924,0.6801749271137026,osm_way_1246426787,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.013844322659459595,0.011474977241519083,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0,,,0.0,0.0,0.0,0.0
