segment_id,lat_center,lon_center,lat_mean,lon_mean,lat_bin,lon_bin,police_station,junction_name,junction_bucket,road_class,road_width_m,event_count,map_matching_mode,representative_location,road_name,osm_highway,geometry_wkt,station_approval_rate,segment_severity_mean,segment_dominant_vehicle_footprint,dist_to_metro_m,dist_to_commercial_m,dist_to_bus_stop_m,dist_to_school_m,dist_to_hospital_m,dist_to_market_m,dist_to_restaurant_m,dist_to_worship_m,poi_count_200m,poi_count_500m,poi_gravity_score,dist_to_legal_parking_m,legal_parking_capacity,overflow_risk_index,segment_total_events,segment_event_rate,segment_rank_pct
grid_12964_77576,12.964500000000001,77.5765,12.96441532578643,77.57651460545532,12964,77576,City Market,BTP082 - KR Market Junction,Named Junction,primary,12.0,3238,grid_fallback,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",,,,1.0,0.38066399011735635,0.9773625694873381,339.0211992956184,118.89442084258683,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,244.07882421887376,34.77434457309233,98.9589310267358,2681.0,0.8595703751202308,1.0
grid_12981_77610,12.9815,77.6105,12.981229614576032,77.61024076548703,12981,77610,Shivajinagar,BTP051 - Safina Plaza Junction,Named Junction,secondary,9.0,2854,grid_fallback,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",,,,1.0,0.9486370007007708,1.2090049053959355,774.2380436567986,61.83233922097544,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,70.95553145823526,7.02042610521728,99.8962915872402,2207.0,0.7075985892914396,0.9993954050785974
grid_12977_77576,12.977500000000001,77.5765,12.977264071017782,77.57648455376466,12977,77576,Upparpet,BTP040 - Elite Junction,Named Junction,primary,12.0,2643,grid_fallback,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",,,,1.0,0.7753916004540296,0.9076806659099508,440.62116156293484,131.9658622901227,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,143.51334982956695,8.0,99.87917341907983,2006.0,0.643154857326066,0.9987908101571947
grid_12933_77691,12.9335,77.6915,12.933370713983138,77.69119618328575,12933,77691,HAL Old Airport,No Junction,No Junction,secondary,9.0,2148,grid_fallback,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",,,,1.0,0.40382216014897576,0.8632681564245811,3283.7923455035416,341.25218886673264,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,154.4711676316886,118.67243449849784,76.35076791605717,1989.0,0.6377043924334722,0.998186215235792
grid_13071_77588,13.0715,77.5885,13.071406999986609,77.58821987838688,13071,77588,Kodigehalli,No Junction,No Junction,secondary,9.0,2055,grid_fallback,"Sahakar Nagar Road, Olivia, Raintree Boulevard, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,,,1.0,0.5262676399026766,0.8233576642335767,3214.1684631230355,223.35653163239044,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,40.48166977148248,183.0841759615127,60.03385651316919,1732.0,0.555306187880731,0.9975816203143894
grid_12976_77577,12.9765,77.5775,12.976446001085188,77.57743318882257,12976,77577,Upparpet,BTP040 - Elite Junction,Named Junction,primary,12.0,1843,grid_fallback,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",,,,1.0,1.0011502984264786,1.157840477482366,509.59742029264305,36.55701441435378,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,11.966478687292387,8.0,97.5941176950601,1599.0,0.5126643154857327,0.9969770253929867
grid_13035_77589,13.0355,77.5895,13.035425071124886,77.58909140419709,13035,77589,Hebbala,No Junction,No Junction,secondary,9.0,1725,grid_fallback,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,,,1.0,0.40931014492753626,0.9546086956521741,856.2126960538828,102.25362399892315,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,162.96651760365117,404.4021110034543,47.02716686878414,1550.0,0.49695415197178583,0.9963724304715841
grid_12977_77575,12.977500000000001,77.5755,12.9775070392562,77.57556541393151,12977,77575,Upparpet,BTP040 - Elite Junction,Named Junction,secondary,9.0,1694,grid_fallback,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",,,,1.0,0.9594037780401417,1.0805785123966942,347.14631659437583,108.41483795840048,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,231.76004845291797,8.0,99.25288591920636,1478.0,0.47386983007374156,0.9945586457073761
grid_12933_77690,12.9335,77.6905,12.933717539498506,77.69084310718222,12933,77690,HAL Old Airport,No Junction,No Junction,secondary,9.0,1665,grid_fallback,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",,,,1.0,0.4242462462462463,0.853993993993994,3336.637449180759,342.39379879875173,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,97.21068408698348,12.985809838892715,95.4178682572145,1495.0,0.4793202949663354,0.9957678355501813
grid_12973_77579,12.9735,77.5795,12.97343210925,77.57927578631251,12973,77579,Upparpet,BTP044 - Sagar Theatre Junction,Named Junction,secondary,9.0,1600,grid_fallback,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",,,,1.0,0.8285187500000001,0.9475,524.6786271830284,4.9780081539599275,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,151.66956759279492,350.0,46.35072816773243,1401.0,0.44918243026611093,0.9939540507859734
